City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
190,mar del plata,0,AR,1525750342,92,-46.43,-67.52,42.63,5.19
191,opuwo,0,NA,1525750342,73,-18.06,13.84,47.67,3.06
192,akdepe,0,TM,1525746600,32,42.05,59.39,57.2,6.93
193,kez,80,RU,1525750343,93,57.9,53.72,49.38,8.77
194,visnes,0,NO,1525747800,81,59.36,5.22,50.0,12.75
195,ust-nera,24,RU,1525750343,78,64.57,143.24,36.69,5.19
196,nanortalik,80,GL,1525750344,99,60.14,-45.24,29.31,3.51
197,natal,40,BR,1525748400,88,-5.81,-35.21,77.0,8.05
198,chuy,8,UY,1525750344,90,-33.69,-53.46,64.41,16.04
199,portland,20,US,1525748160,46,45.52,-122.67,73.4,8.05
200,sangin,0,AF,1525750345,47,32.07,64.85,67.2,3.4
201,brumado,24,BR,1525750345,92,-14.2,-41.67,64.59,5.97
202,pajapan,40,MX,1525747980,69,18.26,-94.69,78.8,11.41
203,butaritari,0,KI,1525750345,100,3.07,172.79,83.67,5.64
204,tarata,0,PE,1525750346,81,-17.47,-70.03,32.46,1.95
205,pitimbu,0,BR,1525748400,88,-7.47,-34.81,75.2,6.93
206,beibei,0,CN,1525744800,60,29.83,106.43,75.2,4.47
207,pombas,48,BR,1525750347,83,-15.9,-54.74,72.78,2.62
208,puerto narino,75,CO,1525748400,100,-3.77,-70.38,77.0,2.17
209,bundaberg,80,AU,1525750347,100,-24.87,152.35,72.78,12.8
210,buala,92,SB,1525750347,96,-8.15,159.59,81.6,11.79
211,lagoa,0,PT,1525748400,87,37.14,-8.45,59.0,5.82
212,huanren,0,CN,1525750348,42,41.26,125.37,63.15,4.18
213,flin flon,68,CA,1525750348,32,54.77,-101.88,49.11,6.42
214,tasiilaq,0,GL,1525747800,57,65.61,-37.64,21.2,1.12
215,santa maria,0,BR,1525744800,93,-29.69,-53.81,66.2,16.11
216,itaguai,40,BR,1525748400,83,-22.85,-43.78,73.4,5.82
217,hamilton,75,BM,1525748100,88,32.3,-64.78,73.4,13.87
218,phulabani,0,IN,1525750351,37,20.47,84.23,93.03,10.67
219,uzhur,48,RU,1525750351,75,55.32,89.85,42.72,14.47
220,moyale,92,ET,1525750351,100,3.52,39.05,66.75,3.18
221,gilgit,44,PK,1525750352,95,35.92,74.31,32.28,0.16
222,conselheiro pena,80,BR,1525750352,93,-19.17,-41.47,67.2,2.95
223,geraldton,20,CA,1525744800,47,49.72,-86.95,57.2,17.22
224,paamiut,64,GL,1525750353,100,61.99,-49.67,29.85,19.17
225,hasaki,75,JP,1525746600,87,35.73,140.83,57.2,13.87
226,punta alta,0,AR,1525744800,78,-27.46,-55.82,77.0,5.82
227,ulcinj,40,ME,1525748400,56,41.93,19.22,68.0,8.05
228,kaseda,75,JP,1525746540,88,31.42,130.32,68.0,11.41
229,cayenne,40,GF,1525748400,83,4.94,-52.33,78.8,3.36
230,hirara,75,JP,1525747320,94,24.8,125.28,78.8,10.29
231,valparaiso,1,US,1525748160,51,41.47,-87.06,60.8,3.4
232,geelong,75,AU,1525748400,48,-38.15,144.36,62.6,6.93
233,east chicago,1,US,1525748160,62,41.64,-87.45,66.2,5.08
234,san patricio,32,PY,1525750357,88,-26.98,-56.83,70.8,4.52
235,dikson,0,RU,1525750357,91,73.51,80.55,9.69,2.95
236,oga,8,NG,1525750357,79,8.18,5.65,77.46,10.56
237,nguru,8,NG,1525750357,47,12.88,10.45,74.22,7.76
238,puqi,20,CN,1525750238,94,29.72,113.88,70.8,5.53
239,itapira,0,BR,1525748400,77,-22.44,-46.82,66.2,10.29
240,laguna,0,MX,1525750358,23,27.52,-110.01,85.02,3.62
241,sabzevar,0,IR,1525750204,37,36.21,57.68,61.17,2.95
242,coihaique,0,CL,1525748400,81,-45.58,-72.07,48.2,9.17
243,mayor pablo lagerenza,32,PY,1525750359,70,-19.93,-60.77,78.54,8.43
244,hofn,92,IS,1525750359,100,64.25,-15.21,42.27,10.56
245,bintulu,75,MY,1525744800,83,3.17,113.03,82.4,3.36
246,idenao,48,CM,1525750360,100,4.25,9.0,76.29,2.95
247,ola,44,RU,1525748400,69,59.58,151.3,39.2,6.71
248,puerto colombia,75,CO,1525748400,94,10.99,-74.96,78.8,2.39
249,cabo san lucas,5,MX,1525747320,28,22.89,-109.91,84.2,5.82
250,suba,76,CN,1525750361,58,28.73,103.51,69.18,2.62
251,boda,12,BD,1525750361,90,26.2,88.56,78.81,8.1
252,faya,0,SA,1525748400,63,18.39,42.45,64.4,3.96
253,vao,20,EE,1525750361,83,59.1,26.19,47.31,5.41
254,kahramanmaras,75,TR,1525749300,93,37.58,36.93,55.4,2.17
255,yerbogachen,0,RU,1525750362,45,61.28,108.01,39.03,7.76
256,jalu,0,LY,1525750365,39,29.03,21.55,61.17,4.63
257,saint johnsbury,1,US,1525749300,39,44.42,-72.02,46.4,2.06
258,avera,40,US,1525748100,82,33.19,-82.53,75.2,2.73
259,kyzyl-suu,0,KG,1525750366,100,42.34,78.0,42.72,1.72
260,kualakapuas,8,ID,1525750366,75,-3.01,114.39,87.99,4.07
261,raudeberg,12,NO,1525747800,76,61.99,5.14,51.8,13.87
262,vanavara,88,RU,1525750367,54,60.35,102.28,32.1,6.2
263,edgewater,1,US,1525748160,73,28.99,-80.9,73.4,5.82
264,moses lake,1,US,1525747980,53,47.13,-119.28,71.6,5.82
265,namatanai,36,PG,1525750367,100,-3.66,152.44,83.22,7.2
266,srandakan,8,ID,1525750368,75,-7.94,110.25,84.21,5.41
267,upington,0,ZA,1525748400,58,-28.46,21.24,53.6,4.7
268,macenta,0,GN,1525750368,97,8.55,-9.47,67.92,1.95
269,tucurui,24,BR,1525750368,96,-3.77,-49.67,75.84,2.39
270,ongandjera,0,NA,1525750369,53,-17.88,15.07,51.36,2.95
271,airai,0,TL,1525750369,45,-8.93,125.41,84.93,2.17
272,aquidauana,8,BR,1525750369,69,-20.47,-55.78,75.03,8.43
